epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,8727.38,0.73293,0.44841,1.04807,0.01402,0.97297,0.96729,0.9865,0.83524,0.51626,0.31496,0.94106,0.00229,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,8865.78,0.73298,0.45132,1.05193,0.01466,0.9739,0.96713,0.98664,0.8357,0.51625,0.3162,0.94039,0.00222,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,9004.62,0.7323,0.44772,1.04878,0.0138,0.97422,0.9653,0.98682,0.83667,0.51422,0.31497,0.93987,0.00211,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,9143.41,0.72451,0.44261,1.04853,0.0135,0.97482,0.9629,0.98646,0.83701,0.51249,0.31377,0.93919,0.00188,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,9281.67,0.72775,0.4439,1.04616,0.01307,0.97347,0.96505,0.98663,0.83648,0.51281,0.31252,0.93821,0.00209,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,9419.36,0.71707,0.43777,1.03927,0.01268,0.97671,0.96408,0.98672,0.83788,0.51214,0.31132,0.93667,0.00214,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,9556.42,0.72,0.44029,1.03821,0.01234,0.97632,0.96528,0.98658,0.83887,0.50965,0.31016,0.93564,0.00186,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,9694.49,0.71572,0.43648,1.04123,0.0132,0.97786,0.96403,0.98653,0.83939,0.50921,0.30784,0.9348,0.00181,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,9834.19,0.71644,0.43454,1.03913,0.0127,0.97714,0.96492,0.98697,0.8397,0.50915,0.30616,0.93524,0.00169,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,9972.4,0.7157,0.43319,1.03992,0.01273,0.97646,0.96563,0.98696,0.83905,0.51063,0.30725,0.93506,0.00186,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,10108.3,0.70413,0.42815,1.0358,0.01229,0.97555,0.96646,0.98668,0.83922,0.50903,0.30689,0.93336,0.00198,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,10245.3,0.71143,0.42791,1.03656,0.01326,0.97675,0.96604,0.98676,0.83952,0.50804,0.30601,0.93278,0.00168,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,10382.8,0.69991,0.42487,1.03232,0.01164,0.9765,0.96605,0.98677,0.84034,0.50505,0.30509,0.93152,0.00176,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,10520.1,0.70071,0.42347,1.03136,0.01201,0.97586,0.96638,0.98669,0.84054,0.50328,0.304,0.92966,0.00191,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
